(pi515) D:\pi515\yolo_tracking>python examples/track.py --source ../sheeps_30sec.mp4 --yolo-model ../FEB29/weights/yolov8_best.pt --save

2024-03-02 23:55:30.832 | SUCCESS  | boxmot.appearance.reid_model_factory:load_pretrained_weights:207 - Successfully loaded pretrained weights from "D:\pi515\yolo_tracking\examples\weights\osnet_x0_25_msmt17.pt"
video 1/1 (108/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 312.4ms
video 1/1 (109/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 281.2ms
video 1/1 (110/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 250.9ms
video 1/1 (111/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 310.4ms
video 1/1 (112/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 282.0ms
video 1/1 (113/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 281.9ms
video 1/1 (114/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 297.3ms
video 1/1 (115/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 250.4ms
video 1/1 (116/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 314.1ms
video 1/1 (117/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 276.7ms
video 1/1 (118/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 266.1ms
video 1/1 (119/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 250.5ms
video 1/1 (120/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 250.5ms
video 1/1 (121/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 313.1ms
video 1/1 (122/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 282.6ms
video 1/1 (123/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 265.9ms
video 1/1 (124/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 281.6ms
video 1/1 (125/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 282.1ms
video 1/1 (126/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 298.3ms
video 1/1 (127/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 301.7ms
video 1/1 (128/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 283.0ms
video 1/1 (129/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 281.7ms
video 1/1 (130/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 263.8ms
video 1/1 (131/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 282.1ms
video 1/1 (132/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 313.2ms
video 1/1 (133/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 282.5ms
video 1/1 (134/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 313.4ms
video 1/1 (135/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 313.4ms
video 1/1 (136/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 281.0ms
video 1/1 (137/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 30 sheeps, 313.0ms
video 1/1 (138/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 30 sheeps, 312.7ms
video 1/1 (139/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 30 sheeps, 293.5ms
video 1/1 (140/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 298.2ms
video 1/1 (141/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 297.7ms
video 1/1 (142/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 30 sheeps, 299.1ms
video 1/1 (143/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 282.8ms
video 1/1 (144/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 313.8ms
video 1/1 (145/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 297.2ms
video 1/1 (146/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 282.7ms
video 1/1 (147/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 298.5ms
video 1/1 (148/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 281.5ms
video 1/1 (149/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 30 sheeps, 297.2ms
video 1/1 (150/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 30 sheeps, 313.5ms
video 1/1 (151/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 30 sheeps, 312.5ms
video 1/1 (152/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 297.7ms
video 1/1 (153/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 282.4ms
video 1/1 (154/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 297.7ms
video 1/1 (155/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 312.7ms
video 1/1 (156/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 265.8ms
video 1/1 (157/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 297.3ms
video 1/1 (158/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 282.8ms
video 1/1 (159/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 312.4ms
video 1/1 (160/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 312.6ms
video 1/1 (161/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 280.3ms
video 1/1 (162/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 313.2ms
video 1/1 (163/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 312.1ms
video 1/1 (164/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 312.8ms
video 1/1 (165/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 313.1ms
video 1/1 (166/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 281.7ms
video 1/1 (167/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 29 sheeps, 314.8ms
video 1/1 (168/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 312.6ms
video 1/1 (169/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 267.4ms
video 1/1 (170/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 28 sheeps, 266.6ms
video 1/1 (171/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 297.8ms
video 1/1 (172/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 297.2ms
video 1/1 (173/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 298.5ms
video 1/1 (174/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 298.8ms
video 1/1 (175/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 312.7ms
video 1/1 (176/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 293.4ms
video 1/1 (177/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 266.6ms
video 1/1 (178/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 312.9ms
video 1/1 (179/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 27 sheeps, 266.2ms
video 1/1 (180/679) D:\pi515\yolo_tracking\..\sheeps_30sec.mp4: 288x640 26 sheeps, 312.5ms
