                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.42135,                0.25017,                0.82002,                0.98993,                0.99143,                0.99413,                0.83672,                0.72538,                0.31473,                 1.0416,             0.00078725,             0.00078725,             0.00078725
                     52,                0.42195,                0.24929,                0.82133,                0.99345,                0.99042,                0.99439,                0.83923,                0.72049,                0.31112,                 1.0365,              0.0007625,              0.0007625,              0.0007625
                     53,                0.40954,                0.24496,                0.81937,                0.99293,                0.99132,                0.99435,                0.83722,                0.72412,                0.31076,                  1.036,             0.00073775,             0.00073775,             0.00073775
                     54,                0.41146,                0.24555,                0.82021,                  0.991,                0.99042,                0.99412,                0.83462,                0.72768,                 0.3158,                 1.0479,               0.000713,               0.000713,               0.000713
                     55,                0.40727,                0.24471,                 0.8178,                0.99193,                0.99164,                0.99416,                  0.835,                0.72645,                 0.3103,                 1.0448,             0.00068825,             0.00068825,             0.00068825
                     56,                0.40372,                0.24318,                0.81836,                0.99211,                0.98941,                0.99419,                0.83622,                0.72838,                0.31156,                 1.0426,              0.0006635,              0.0006635,              0.0006635
                     57,                0.40936,                0.24557,                0.81823,                0.99143,                0.99147,                 0.9944,                0.83606,                0.72462,                0.31127,                 1.0345,             0.00063875,             0.00063875,             0.00063875
                     58,                 0.4025,                 0.2435,                0.81831,                0.99225,                0.99193,                 0.9944,                0.84004,                0.72301,                0.30981,                 1.0409,               0.000614,               0.000614,               0.000614
                     59,                0.40337,                0.24193,                0.81946,                0.99264,                0.99193,                0.99435,                0.83701,                0.72502,                0.31227,                 1.0394,             0.00058925,             0.00058925,             0.00058925
                     60,                0.40352,                0.24367,                0.81857,                0.99386,                0.99042,                0.99418,                0.83949,                0.72684,                0.30645,                  1.043,              0.0005645,              0.0005645,              0.0005645
                     61,                0.40077,                0.24086,                0.81849,                0.99293,                0.99184,                0.99436,                 0.8402,                0.72158,                0.31087,                 1.0436,             0.00053975,             0.00053975,             0.00053975
                     62,                0.40231,                0.24113,                0.81839,                0.99113,                0.99092,                0.99424,                0.84003,                0.71962,                0.30925,                 1.0427,               0.000515,               0.000515,               0.000515
                     63,                0.39301,                0.23763,                0.81665,                0.99193,                0.99124,                0.99416,                0.83965,                0.72308,                0.30653,                 1.0464,             0.00049025,             0.00049025,             0.00049025
                     64,                0.39558,                0.23881,                0.81718,                0.99192,                0.99099,                 0.9941,                0.83879,                0.72482,                0.30839,                 1.0498,              0.0004655,              0.0004655,              0.0004655
                     65,                0.38682,                 0.2337,                0.81231,                0.99093,                0.99162,                0.99421,                0.83965,                 0.7236,                0.30718,                 1.0514,             0.00044075,             0.00044075,             0.00044075
                     66,                0.32443,                0.20618,                0.79841,                0.98769,                0.99193,                 0.9941,                0.83923,                0.72475,                0.30956,                 1.0448,               0.000416,               0.000416,               0.000416
                     67,                0.30866,                0.20089,                0.79505,                0.98945,                0.99288,                 0.9942,                0.83975,                0.72402,                0.31041,                 1.0472,             0.00039125,             0.00039125,             0.00039125
